"model","impute","tag","setting","dataset","corpus","ml_algo","n","seed","timespan","cutoff","ppmi","method","TrainRsquared","TrainSpearman"
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1331,10,"500","PPMI","glmnet",0.354783635146517,0.33145545396297
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1441,10,"500","PPMI","glmnet",0.138917306552617,0.319726660651739
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1441,10,"500","PPMI","glmnet",0.132365824557387,0.343985257208984
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1551,10,"500","PPMI","glmnet",0.137763015550395,0.309952333804382
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1551,10,"500","PPMI","glmnet",0.124964838604767,0.337787838303742
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1661,10,"500","PPMI","glmnet",0.166635444658236,0.340403699134268
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1661,10,"500","PPMI","glmnet",0.16623086576644,0.379879667912166
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1771,10,"500","PPMI","glmnet",0.141117504129062,0.355191121283882
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1771,10,"500","PPMI","glmnet",0.153551752063648,0.330014984477794
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1881,10,"500","PPMI","glmnet",0.170021850699731,0.343109220244461
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1881,10,"500","PPMI","glmnet",0.124314898763029,0.327988431806157
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1991,10,"500","PPMI","glmnet",0.155690997340207,0.363899376989782
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1991,10,"500","PPMI","glmnet",0.13676830627043,0.335631364562631
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1001,20,"0","PPMI","glmnet",0.499332492605952,0.710270144255938
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1001,20,"0","PPMI","glmnet",0.504796258141655,0.710270144255938
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1111,20,"0","PPMI","glmnet",0.471091055154901,0.553095238095238
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1111,20,"0","PPMI","glmnet",0.440284703460852,0.558246753246753
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1221,20,"0","PPMI","glmnet",0.521961889043797,0.65185854017909
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1221,20,"0","PPMI","glmnet",0.469466412252596,0.663005726326277
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1331,20,"0","PPMI","glmnet",0.483612480967634,0.651256169448269
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1331,20,"0","PPMI","glmnet",0.500202058606117,0.647000830642508
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1441,20,"0","PPMI","glmnet",0.422651272495838,0.653073593073593
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1441,20,"0","PPMI","glmnet",0.48929176037948,0.653073593073593
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1551,20,"0","PPMI","glmnet",0.459669013542533,0.680805314135006
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1551,20,"0","PPMI","glmnet",0.49391637948806,0.680805314135006
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1661,20,"0","PPMI","glmnet",0.475492878063851,0.627847687902326
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1661,20,"0","PPMI","glmnet",0.439186736564944,0.605989905916093
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1771,20,"0","PPMI","glmnet",0.515648254195992,0.685194805194805
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1771,20,"0","PPMI","glmnet",0.467813390766347,0.685194805194805
